Author,Quote,Tags
Marilyn Monroe,It's not true that I had nothing on. I had the radio on.,"['dirty', 'funny', 'logo', 'sex']"
Oscar Wilde,The very essence of romance is uncertainty.,"['love', 'romance']"
Cassandra Clare,"You could have had anything else in the world, and you asked for me.""She smiled up at him. Filthy as he was, covered in blood and dirt, he was the most beautiful thing she'd ever seen.""But I don't want anything else in the world.","['clary-fray', 'jace-wayland', 'love']"
Socrates,The unexamined life is not worth living.,"['inspiration', 'truth', 'wisdom']"
Roald Dahl,"So please, oh please, we beg, we pray,Go throw your TV set away,And in its place you can installA lovely bookshelf on the wall.Then fill the shelves with lots of books.","['books', 'humor', 'television']"
Oscar Wilde,Everything in the world is about sex except sex. Sex is about power.,"['power', 'sex']"
Benjamin Franklin,Either write something worth reading or do something worth writing.,['hmmm']
Haruki Murakami,"If you remember me, then I don't care if everyone else forgets.","['inspirational', 'love']"
Cassandra Clare,"You said you were going for a walk!? What kind of walk takes six hours?""""A long one?",['mortal-instruments']
Albert Einstein,Try not to become a man of success. Rather become a man of value.,"['adulthood', 'success', 'value']"
Roy T. Bennett,Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.,"['being-human', 'goodness', 'human', 'human-nature', 'humanism', 'humanity', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'kindness', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'living', 'love', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'smile', 'smiles']"
Friedrich Nietzsche,There is always some madness in love. But there is also always some reason in madness.,"['love', 'madness']"
Charles M. Schulz,Happiness is a warm puppy.,"['animals', 'dogs', 'happiness', 'humor', 'puppies']"
Ned Vizzini,"I didn't want to wake up. I was having a much better time asleep. And that's really sad. It was almost like a reverse nightmare, like when you wake up from a nightmare you're so relieved. I woke up into a nightmare.","['depression', 'sadness', 'suicide']"
Oscar Wilde,"Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.",['truth']
Alice Hoffman,Books may well be the only true magic.,['books']
maya angelou,I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.,"['humor', 'inspirational', 'life']"
Mark Twain,Never allow someone to be your priority while allowing yourself to be their option.,['heartbreak']
Oprah Winfrey,Turn your wounds into wisdom.,"['experience', 'inspirational', 'pain', 'wisdom', 'wounds']"
Robert Frost,"No tears in the writer, no tears in the reader. No surprise in the writer, no surprise in the reader.","['reading', 'writing']"
Albert Camus,Nobody realizes that some people expend tremendous energy merely to be normal.,"['humanity', 'life', 'mankind', 'mortality']"
John Green,"Without pain, how could we know joy?' This is an old argument in the field of thinking about suffering and its stupidity and lack of sophistication could be plumbed for centuries but suffice it to say that the existence of broccoli does not, in any way, affect the taste of chocolate.","['broccoli', 'chocolate', 'joy', 'pleasures', 'suffering']"
J. D. Salinger,"Don't ever tell anybody anything. If you do, you start missing everybody.","['salinger', 'stories']"
Roy T. Bennett,"Respect other people's feelings. It might mean nothing to you, but it could mean everything to them.","['feelings', 'inspiration', 'inspirational-quotes']"
Cassandra Clare,"Remember when you tried to convince me to feed a poultry pie to the mallards in the park to see if you could breed a race of cannibal ducks?"" ""They ate it too,"" Will reminisced. ""Bloodthirsty little beasts. Never trust a duck.","['jem-carstairs', 'will-herondale']"
Arthur C. Clarke,Two possibilities exist: either we are alone in the Universe or we are not. Both are equally terrifying.,"['distance', 'life', 'loneliness', 'qotd', 'sense-of-wonder', 'universe']"
Arthur Conan Doyle,"When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth.",['inspirational']
Winston S. Churchill,"Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing had happened.",['truth']
Eleanor Roosevelt,"You gain strength, courage and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I have lived through this horror. I can take the next thing that comes along.' You must do the thing you think you cannot do.",['confidence']
Jane Smiley,"Many people, myself among them, feel better at the mere sight of a book.","['books', 'reading']"
J.R.R. Tolkien,Deserves it! I daresay he does. Many that live deserve death. And some that die deserve life. Can you give it to them? Then do not be too eager to deal out death in judgement. For even the very wise cannot see all ends.,"['compassion', 'justice', 'mercy']"
Woody Allen,"I don't know the question, but sex is definitely the answer.","['humor', 'life', 'sex']"
Jonathan Safran Foer,You cannot protect yourself from sadness without protecting yourself from happiness.,"['happiness', 'sadness']"
Roy T. Bennett,Be mindful. Be grateful. Be positive. Be true. Be kind.,"['gratitude', 'inspiration', 'inspirational', 'inspirational-quotes', 'kindness', 'life', 'life-and-living', 'life-quotes', 'living-life', 'mindful', 'mindfulness', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'truth']"
Dr. Seuss,"Fantasy is a necessary ingredient in living, it's a way of looking at life through the wrong end of a telescope.","['fantasy', 'humor']"
Nora Ephron,"Above all, be the heroine of your life, not the victim.","['courage', 'empowerment', 'self-determination', 'women']"
Sarah Dessen,There comes a time when the world gets quiet and the only thing left is your own heart. So you'd better learn the sound of it. Otherwise you'll never understand what it's saying.,"['just-litsen', 'sarah-dessen', 'time']"
George Orwell,"All animals are equal, but some animals are more equal than others.",['animal-farm']
Dr. Seuss,Why fit in when you were born to stand out?,['seuss']
Sylvia Plath,"Kiss me, and you will see how important I am.","['importance', 'kiss', 'kissing']"
George Orwell,War is peace. Freedom is slavery. Ignorance is strength.,"['freedom', 'ignorance', 'inspirational', 'war']"
Suzanne Collins,"You're still trying to protect me. Real or not real,"" he whispers.""Real,"" I answer. ""Because that's what you and I do, protect each other.","['hunger-games', 'katniss', 'peeta']"
Joseph Brodsky,There are worse crimes than burning books. One of them is not reading them.,"['books', 'censorship', 'illiteracy', 'reading']"
Jhumpa Lahiri,That's the thing about books. They let you travel without moving your feet.,['books']
Roy T. Bennett,"Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.","['accept-yourself', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'keep-moving-forward', 'letting-go', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'love-yourself', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
Haruki Marukami,Whatever it is you're seeking won't come in the form you're expecting.,['expectation']
Gabriel Garcia Marquez,What matters in life is not what happens to you but what you remember and how you remember it.,['life-memories']
Terry Pratchett,"It is said that your life flashes before your eyes just before you die. That is true, it's called Life.","['death', 'humor', 'life']"
Jamie McGuire,"To douchebags!"" he said, gesturing to Brad. ""And to girls that break your heart,"" he bowed his head to me. His eyes lost focus. ""And to the absolute fucking horror of losing your best friend because you were stupid enough to fall in love with her.","['best-friends', 'heartbreak', 'love']"
Stephen Chbosky,"I am very interested and fascinated how everyone loves each other, but no one really likes each other.",['moi']
Lemony Snicket,"Everyone should be able to do one card trick, tell two jokes, and recite three poems, in case they are ever trapped in an elevator.",['funny']
Douglas Coupland,Remember: the time you feel lonely is the time you most need to be by yourself. Life's cruelest irony.,"['irony', 'life', 'loneliness']"
Ray Bradbury,You must stay drunk on writing so reality cannot destroy you.,['writing']
Khaled Hosseini,"It may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime...","['fair', 'life']"
Paulo Coelho,"The simple things are also the most extraordinary things, and only the wise can see them.",['wisdom']
Leonardo da Vinci,"Painting is poetry that is seen rather than felt, and poetry is painting that is felt rather than seen.","['art', 'poetry']"
David Sedaris,If you're looking for sympathy you'll find it between shit and syphilis in the dictionary.,['sympathy']
Edgar Allan Poe,I have great faith in fools - self-confidence my friends will call it.,"['faith', 'fool', 'humor', 'self-confidence', 'self-irony']"
Daphne Rae,"I have found the paradox, that if you love until it hurts, there can be no more hurt, only more love.",['misattributed-to-mother-teresa']
Cassandra Clare,"That does it,"" said Jace. ""I'm going to get you a dictionary for Christmas this year.""""Why?"" Isabelle said.""So you can look up 'fun.' I'm not sure you know what it means.","['dictionary', 'fun', 'humor', 'isabelle-lightwood', 'jace-wayland']"
Friedrich Nietzsche,You must have chaos within you to give birth to a dancing star.,"['art', 'chaos']"
Katie McGarry,I don't go looking for trouble. Trouble usually finds me.,['trouble']
E.E. Cummings,To be nobody but yourself in a world which is doing its best day and night to make you like everybody else means to fight the hardest battle which any human being can fight and never stop fighting.,['poetry']
F. Scott Fitzgerald,"That is part of the beauty of all literature. You discover that your longings are universal longings, that you're not lonely and isolated from anyone. You belong.","['belonging', 'company', 'desires', 'literature', 'longings']"
John Green,They love their hair because they're not smart enough to love something more interesting.,"['awesomeness', 'funny']"
Marilyn Monroe,Beneath the makeup and behind the smile I am just a girl who wishes for the world.,"['girl', 'makeup', 'world']"
John Green,"Some tourists think Amsterdam is a city of sin, but in truth it is a city of freedom. And in freedom, most people find sin.","['amsterdam', 'freedom', 'sin']"
Friedrich Wilhelm Nietzsche,"You have your way. I have my way. As for the right way, the correct way, and the only way, it does not exist.","['amorality', 'correct-way', 'individuality', 'my-way', 'only-way', 'right-way', 'the-way', 'your-way']"
John Lennon,"As usual, there is a great woman behind every idiot.","['beatles', 'men', 'women']"
Haruki Murakami,"What happens when people open their hearts?""""They get better.","['healing', 'vulnerability']"
Ray Bradbury,"I have never listened to anyone who criticized my taste in space travel, sideshows or gorillas. When this occurs, I pack up my dinosaurs and leave the room.","['humour', 'individuality', 'science-fiction']"
Mahatma Gandhi,Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.,"['god', 'heart', 'humanity', 'inspirational', 'prayer', 'religion', 'souls', 'weakness']"
Christopher Paolini,"Books are my friends, my companions. They make me laugh and cry and find meaning in life.","['books', 'christopher-paolini', 'eragon', 'good-reads']"
Candace Bushnell,"Man may have discovered fire, but women discovered how to play with it.","['love', 'relationships']"
Jane Austen,"I cannot fix on the hour, or the spot, or the look or the words, which laid the foundation. It is too long ago. I was in the middle before I knew that I had begun.","['love', 'romance']"
Nelson Mandela,Education is the most powerful weapon which you can use to change the world.,"['change', 'education']"
Dr. Seuss,Being crazy isn't enough.,['crazy']
Sigmund Freud,"One day, in retrospect, the years of struggle will strike you as the most beautiful.",['inspirational-quotes']
Cicero,"If you have a garden and a library, you have everything you need.",['books']
William Goldman,"Life is pain, highness. Anyone who says differently is selling something.","['life', 'pain']"
Winston S. Churchill,"If you are going through hell, keep going.","['hell', 'perseverance']"
Albert Camus,"Should I kill myself, or have a cup of coffee?",[]
Ursula K. Le Guin,"Love doesn't just sit there, like a stone, it has to be made, like bread; remade all the time, made new.",['love']
Leigh Bardugo,"I would have come for you. And if I couldn't walk, I'd crawl to you, and no matter how broken we were, we'd fight our way out together-knives drawn, pistols blazing. Because that's what we do. We never stop fighting.","['crooked-kingdom', 'inej-ghafa', 'kaz-brekker', 'six-of-crows']"
S.E. Hinton,I lie to myself all the time. But I never believe me.,"['lies', 'lying', 'self-deception', 'truth']"
Mark Twain,"But who prays for Satan? Who, in eighteen centuries, has had the common humanity to pray for the one sinner that needed it most?",['humor-satan']
Anthony G. Oettinger,Time flies like an arrow; fruit flies like a banana.,"['humor', 'misattributed-to-groucho-marx', 'time']"
J.K. Rowling,Percy wouldn't notice a joke if it danced naked in front of him wearing one of Dobby's hats.,['humor']
William Faulkner,"Never be afraid to raise your voice for honesty and truth and compassion against injustice and lying and greed. If people all over the world...would do this, it would change the earth.","['advocacy', 'dissent', 'protest', 'truth', 'truth-telling']"
J.K. Rowling,"Books are like mirrors: if a fool looks in, you cannot expect a genius to look out.",['books']
Chuck Palahniuk,Nothing of me is original. I am the combined effort of everyone I've ever known.,"['identity', 'originality']"
Mahatma Gandhi,"I like your Christ, I do not like your Christians. Your Christians are so unlike your Christ.","['anti-christian', 'christianity', 'christians', 'jesus-christ']"
Oscar Wilde,"I think God, in creating man, somewhat overestimated his ability.","['creation', 'god', 'humor', 'man']"
Chuck Palahniuk,"What I want is to be needed. What I need is to be indispensable to somebody. Who I need is somebody that will eat up all my free time, my ego, my attention. Somebody addicted to me. A mutual addiction.",['love']
Paul Auster,"Reading was my escape and my comfort, my consolation, my stimulant of choice: reading for the pure pleasure of it, for the beautiful stillness that surrounds you when you hear an author's words reverberating in your head.","['books', 'reading']"
Terry Pratchett,Stories of imagination tend to upset those without one.,"['fantasy', 'humor', 'imagination', 'literature', 'stories']"
Dale Carnegie,It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.,"['attitude', 'contentment', 'happiness', 'inspirational', 'life']"
Coco Chanel,A girl should be two things: classy and fabulous.,"['beauty', 'class', 'fashion', 'girls', 'women']"
Suzanne Collins,"What I need is the dandelion in the spring. The bright yellow that means rebirth instead of destruction. The promise that life can go on, no matter how bad our losses. That it can be good again.","['inspirational', 'love']"
Audrey Hepburn,"I love people who make me laugh. I honestly think it's the thing I like most, to laugh. It cures a multitude of ills. It's probably the most important thing in a person.",['laughter']
Nicholas Sparks,"My daddy said, that the first time you fall in love, it changes you forever and no matter how hard you try, that feeling just never goes away.","['love', 'nicholas', 'nicholas-sparks', 'sparks', 'the-notebook']"
Maya Angelou,"I don't trust people who don't love themselves and tell me, 'I love you.' ... There is an African saying which is: Be careful when a naked person offers you a shirt.","['1997', 'annie-clark-tanner-lecture', 'inspirational', 'love', 'trust']"
Pablo Picasso,Every child is an artist. The problem is how to remain an artist once he grows up.,['art']
Rick Riordan,Deadlines just aren't real to me until I'm staring one in the face.,"['deadlines', 'humor', 'procrastinate']"
Oscar Wilde,I never travel without my diary. One should always have something sensational to read in the train.,"['drama', 'humor', 'plays']"
William Faulkner,You cannot swim for new horizons until you have courage to lose sight of the shore.,"['courage', 'determination', 'hope', 'risk']"
Paul McCartney,"And, in the endThe love you takeis equal to the love you make.","['beatles', 'inspirational', 'live', 'love', 'music']"
Roy T. Bennett,Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.,"['brave', 'courage', 'dreams', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'purpose', 'vision']"
Patrick Rothfuss,"There are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.","['fear', 'name-of-the-wind', 'patrick-rothfuss', 'wisdom']"
Terry Pratchett,"Why do you go away? So that you can come back. So that you can see the place you came from with new eyes and extra colors. And the people there see you differently, too. Coming back to where you started is not the same as never leaving.","['adventure', 'change', 'discworld', 'growth', 'travel']"
Vladimir Nabokov,"It was love at first sight, at last sight, at ever and ever sight.","['humbert-humbert', 'love']"
Walt Whitman,"Resist much, obey little.",['poetry']
Agatha Christie,"I like living. I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all I still know quite certainly that just to be alive is a grand thing.",['inspirational']
Kahlil Gibran,"If you love somebody, let them go, for if they return, they were always yours. If they don't, they never were.","['life', 'love', 'romance']"
Winston S. Churchill,My tastes are simple: I am easily satisfied with the best.,"['humor', 'taste']"
Chuck Palahniuk,I don't want to die without any scars.,"['death', 'scars', 'tyler-durden']"
Roy T. Bennett,"Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.","['achievement', 'believe-in-yourself', 'brave', 'courage', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'talent']"
Mark Twain,"Truth is stranger than fiction, but it is because Fiction is obliged to stick to possibilities; Truth isn't.","['books', 'truth']"
William Shakespeare,"If music be the food of love, play on,Give me excess of it; that surfeiting,The appetite may sicken, and so die.","['music', 'romance', 'unrequited-love']"
F. Scott Fitzgerald,"Show me a hero, and I'll write you a tragedy.",['f-scott-fitzgerald']
J.R.R. Tolkien,"It's a dangerous business, Frodo, going out your door. You step onto the road, and if you don't keep your feet, there's no knowing where you might be swept off to.",['wisdom']
Mark Twain,"I do not fear death. I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it.","['death', 'inspirational']"
Jane Austen,Angry people are not always wise.,"['anger', 'jane-austen', 'wisdom']"
Confucious,"By three methods we may learn wisdom: First, by reflection, which is noblest; Second, by imitation, which is easiest; and third by experience, which is the bitterest.",['wisdom']
Mother Teresa,"I am not sure exactly what heaven will be like, but I know that when we die and it comes time for God to judge us, he will not ask, 'How many good things have you done in your life?' rather he will ask, 'How much love did you put into what you did?","['inspirational', 'love']"
C.S. Lewis,To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you.,"['christianity', 'forgiveness', 'god']"
Mortimer J. Adler,"In the case of good books, the point is not to see how many of them you can get through, but rather how many can get through to you.","['books', 'reading']"
Louisa May Alcott,"She is too fond of books, and it has turned her brain.",['books']
J.K. Rowling,"You haven't got a letter on yours,"" George observed. ""I suppose she thinks you don't forget your name. But we're not stupid-we know we're called Gred and Forge.",['humor']
Cassandra Clare,"Will looked horrified. ""What kind of monster could possibly hate chocolate?","['chocolate', 'monsters']"
John Green,"It's a metaphor, see: You put the killing thing right between your teeth, but you don't give it the power to do its killing.","['john-green', 'the-fault-in-our-stars']"
Cassandra Clare,"I am a badass, and I recognize that you, too, are a badass.",['simon']
Stephen King,Fiction is the truth inside the lie.,['writing']
John Green,"The town was paper, but the memories were not.",['memories']
Douglas Adams,"The fact that we live at the bottom of a deep gravity well, on the surface of a gas covered planet going around a nuclear fireball 90 million miles away and think this to be normal is obviously some indication of how skewed our perspective tends to be.","['humor', 'perspective', 'science']"
Suzanne Collins,My nightmares are usually about losing you. I'm okay once I realize you're here.,['romantic']
Anonymous,"And now these three remain: faith, hope and love. But the greatest of these is love.","['faith', 'god', 'hope', 'love']"
Anton Chekhov,Don't tell me the moon is shining; show me the glint of light on broken glass.,"['broken-glass', 'glass', 'moon', 'moonshine', 'show-don-t-tell', 'writing']"
Stephen King,The road to hell is paved with adverbs.,['writing']
Rick Riordan,"Wow,"" Thalia muttered. ""Apollo is hot."" ""He's the sun god,"" I said.""That's not what I meant.","['apollo', 'gods', 'hot', 'olympians', 'percy-jackson', 'sun', 'thalia']"
William Shakespeare,"When he shall die,Take him and cut him out in little stars,And he will make the face of heaven so fineThat all the world will be in love with nightAnd pay no worship to the garish sun.","['death', 'light', 'stars']"
Joan Crawford,"Love is a fire. But whether it is going to warm your hearth or burn down your house, you can never tell.",['love']
Veronica Roth,Fear doesn't shut you down; it wakes you up,"['divergent', 'fear']"
Haruki Murakami,"Why do people have to be this lonely? What's the point of it all? Millions of people in this world, all of them yearning, looking to others to satisfy them, yet isolating themselves. Why? Was the earth put here just to nourish human loneliness?","['isolation', 'loneliness', 'sadness']"
Rick Riordan,"Love conquers all,"" Aphrodite promised. ""Look at Helen and Paris. Did they let anything come between them?""""Didn't they start the Trojan War and get thousands of people killed?""""Pfft. That's not the point. Follow your heart.","['humor', 'true-love']"
Patrick Ness,You do not write your life with words...You write it with actions. What you think is not important. It is only important what you do.,"['philosophy', 'wisdom']"
John Green,Maybe 'okay' will be our 'always,"['augustus-waters', 'hazel-grace']"
Mahatma Gandhi,Freedom is not worth having if it does not include the freedom to make mistakes.,"['freedom', 'humanity', 'mistakes']"
Margaret Mitchell,Life's under no obligation to give us what we expect.,"['expectation', 'hope', 'life']"
Stephen Chbosky,"It's strange because sometimes, I read a book, and I think I am the people in the book.",['books-reading']
George Burns,"Happiness is having a large, loving, caring, close-knit family in another city.","['family', 'happiness', 'humor']"
Roy T. Bennett,"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.","['authentic-living', 'being-positive', 'blessed', 'compassion', 'hate', 'inspiration', 'inspirational', 'inspirational-quotes', 'judgment', 'less-more', 'life', 'life-purpose', 'life-quotes', 'living', 'love', 'mind', 'motivation', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'smile', 'smiles', 'spirituality', 'stress', 'stressed', 'worry', 'worrying']"
Mahatma Gandhi,Nobody can hurt me without my permission.,"['fighting', 'hurt', 'inner-peace', 'peace', 'permission', 'strength', 'trial']"
Suzanne Collins,"Fire is catching! And if we burn, you burn with us!",['mockingjay']
"Martin Luther King, Jr.","But I know, somehow, that only when it is dark enough can you see the stars.","['hope', 'inspirational']"
Nicholas Sparks,"You are the answer to every prayer I've offered. You are a song, a dream, a whisper, and I don't know how I could have lived without you for as long as I have.",['love']
Edgar Allan Poe,I was never really insane except upon occasions when my heart was touched.,['inspiration']
Veronica Roth,"Sometimes crying or laughing are the only options left, and laughing feels better right now.","['crying', 'laughter', 'options']"
Mawlana Jalal-al-Din Rumi,What you seek is seeking you.,"['attraction', 'rumi', 'sufi']"
Bill Watterson,It's not denial. I'm just selective about the reality I accept.,['calvin-and-hobbes-reality']
Helen Keller,The best and most beautiful things in the world cannot be seen or even touched. They must be felt with the heart,"['by-anne-sullivan', 'emotions', 'feelings']"
Mark Twain,Wrinkles should merely indicate where the smiles have been.,['age']
Lao Tzu,"Simplicity, patience, compassion.These three are your greatest treasures.Simple in actions and thoughts, you return to the source of being.Patient with both friends and enemies,you accord with the way things are.Compassionate toward yourself,you reconcile all beings in the world.","['inspirational', 'life', 'philosophy']"
Paulo Coelho,"If pain must come, may it come quickly. Because I have a life to live, and I need to live it in the best way possible. If he has to make a choice, may he make it now. Then I will either wait for him or forget him.","['forgetting', 'hope', 'love', 'pain', 'suffering', 'waiting']"
Rumi,"Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.","['change', 'cleverness', 'misattributed', 'self', 'wisdom', 'world']"
Rudyard Kipling,"Words are, of course, the most powerful drug used by mankind.",['words']
Flannery O'Connor,The truth does not change according to our ability to stomach it.,['truth']
Lois Lowry,The worst part of holding the memories is not the pain. It's the loneliness of it. Memories need to be shared.,"['loneliness', 'memories', 'pain', 'share']"
Roy T. Bennett,"The past is a place of reference, not a place of residence; the past is a place of learning, not a place of living.","['inspirational', 'life-and-living', 'life-lessons']"
Virginia Woolf,Books are the mirrors of the soul.,"['books', 'metaphor', 'soul']"
Rick Riordan,Be careful of love. It'll twist your brain around and leave you thinking up is down and right is wrong.,['love']
Leo Tolstoy,"If you look for perfection, you'll never be content.",['perfection']
Suzanne Collins,"I can feel Peeta press his forehead into my temple and he asks, 'So now that you've got me, what are you going to do with me?' I turn into him. 'Put you somewhere you can't get hurt.","['love', 'romance']"
Cassandra Clare,"I've got a stele we can use. Who wants to do me?""""A regrettable choice of words,"" muttered Magnus.","['jace-wayland', 'magnus-bane', 'regret', 'stele']"
Markus Zusak,"It kills me sometimes, how people die.",['death']
Alexander Pope,"Blessed is he who expects nothing, for he shall never be disappointed.","['beatitudes', 'disappointment', 'expectations', 'hope']"
Charles Dickens,There is nothing in the world so irresistibly contagious as laughter and good humor.,"['humor', 'laughter']"
Bob Marley,None but ourselves can free our minds.,"['bob-marley', 'inspirational', 'music', 'reggae']"
Maya Angelou,"I did then what I knew how to do. Now that I know better, I do better.","['attributed', 'education', 'intelligence', 'knowledge', 'unsourced']"
E. E. Cummings,Unbeing dead isn't being alive.,"['death', 'life', 'poetry']"
Haruki Murakami,"Nobody likes being alone that much. I don't go out of my way to make friends, that's all. It just leads to disappointment. ","['disappointment', 'friends', 'friendship', 'life', 'loneliness']"
J.M. Barrie,Never say goodbye because goodbye means going away and going away means forgetting.,['goodbye']
Muhammad Ali,"Friendship is the hardest thing in the world to explain. It's not something you learn in school. But if you haven't learned the meaning of friendship, you really haven't learned anything.",['friendship']
Maya Angelou,Music was my refuge. I could crawl into the space between the notes and curl my back to loneliness.,"['loneliness', 'music', 'refuge']"
J.K. Rowling,"Don't talk to me.""""Why not?""""Because I want to fix that in my memory for ever. Draco Malfoy, the amazing bouncing ferret...","['ferret-malfoy', 'harry-potter', 'humor', 'ron-weasley']"
George R.R. Martin,Fear cuts deeper than swords.,"['bravery', 'fear']"
Oscar Wilde,"Death must be so beautiful. To lie in the soft brown earth, with the grasses waving above one's head, and listen to silence. To have no yesterday, and no tomorrow. To forget time, to forgive life, to be at peace.",['death-peace']
Lewis Carroll,"Why, sometimes I've believed as many as six impossible things before breakfast.","['alice-in-wonderland', 'breakfast', 'carroll']"
Taylor Swift,People haven't always been there for me but music always has.,['music']
Hunter S. Thompson,"Life should not be a journey to the grave with the intention of arriving safely in a pretty and well preserved body, but rather to skid in broadside in a cloud of smoke, thoroughly used up, totally worn out, and loudly proclaiming ""Wow! What a Ride!","['adventure', 'death', 'life']"
Roy T. Bennett,"You cannot control the behavior of others, but you can always choose how you respond to it.","['choices', 'choose', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
Margaret Atwood,War is what happens when language fails.,['war']
J.R.R. Tolkien,I will not say: do not weep; for not all tears are an evil.,"['gandalf', 'grief']"
"Martin Luther King Jr.,",Let no man pull you so low as to hate him.,"['hatred', 'wisdom']"
J.K. Rowling,"You know, Minister, I disagree with Dumbledore on many counts...but you cannot deny he's got style...","['dumbledore', 'fudge', 'minister', 'style']"
Fyodor Dostoevsky,To go wrong in one's own way is better than to go right in someone else's.,"['independent-thought', 'self-determination', 'self-expression']"
Vincent Van Gogh,"It is good to love many things, for therein lies the true strength, and whosoever loves much performs much, and can accomplish much, and what is done in love is well done.","['art', 'inspiration', 'love', 'strength']"
Albert Einstein,The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,"['change', 'deep-thoughts', 'thinking', 'world']"
J.K. Rowling,"He must have known I'd want to leave you.""""No, he must have known you would always want to come back.","['dumbledore', 'friendship', 'harry-potter', 'ron-weasley']"
Tupac Shakur,"You can spend minutes, hours, days, weeks, or even months over-analyzing a situation; trying to put the pieces together, justifying what could've, would've happened... or you can just leave the pieces on the floor and move the fuck on.",['moving-on']
J.K. Rowling,"Let us step into the night and pursue that flighty temptress, adventure.",['adventure']
Marcel Proust,Let us be grateful to the people who make us happy; they are the charming gardeners who make our souls blossom.,"['gratitude', 'happiness']"
Cassandra Clare,"One of the Silent Brothers is here to see you. Hodge sent me to wake you up. Actually he offered to wake you himself, but since it's 5 a.m., I figured you'd be less cranky if you had something nice to look at.""""Meaning you?""""What else?","['clary-fray', 'ego', 'jace-wayland']"
Cassandra Clare,"It's all right to love someone who doesn't love you back, as long as they're worth you loving them. As long as they deserve it.","['clockwork-angel', 'sophie-collins']"
Mahatma Gandhi,God has no religion.,"['god', 'religion']"
F. Scott Fitzgerald,I don't want to repeat my innocence. I want the pleasure of losing it again.,"['lost-innocence', 'memories']"
James A. Baldwin,"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.",['love']
Steve Maraboli,"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.","['forgiveness', 'inspirational', 'letting-go', 'life', 'motivational', 'moving-forward', 'truth']"
Leo Tolstoy,It is amazing how complete is the delusion that beauty is goodness.,"['beauty', 'delusion', 'goodness', 'lies', 'self-deception', 'wisdom']"
Roy T. Bennett,"Do what is right, not what is easy nor what is popular.","['inspirational', 'integrity', 'motivational', 'what-is-right']"
Anais Nin,"Each friend represents a world in us, a world possibly not born until they arrive, and it is only by this meeting that a new world is born.",['friendship']
Frank Zappa,"Without deviation from the norm, progress is not possible.","['music', 'philosophy', 'progress']"
